link;status;tags;sequence;link_id;article_title;article_author;article_excerpt;categories;site_manual;link_type;img_file;post_date_manual;media_type;img_type;img_url;profile_image_url;author_url;post_date;processed_date
https://uclab.fh-potsdam.de/vikus/;processed;none;2140;L02140;Visualizing Cultural Collections;VIKUS;At the University of Applied Sciences Potsdam, »Visualizing Cultural Collections« is a cross-disciplinary research theme that started with the research project VIKUS (Visualisierung kultureller Sammlungen) in 2014-2017. The aim of this research has been to study new forms of graphical user interfaces to support the exploration of digital cultural heritage. Researchers and students from various ...;"art;visualization;animation";https://uclab.fh-potsdam.de;website;img/img-L02140.jpg;2014-2022;NA;jpg;https://uclab.fh-potsdam.de/vikus/content/2-students/20-conchylia/0.jpg;NA;NA;2014-2022;2022-07-29
https://docs.microsoft.com/en-us/azure/architecture/data-science-process/overview;processed;none;2139;L02139;What is the Team Data Science Process?;Microsoft;The Team Data Science Process (TDSP) is an agile, iterative data science methodology to deliver predictive analytics solutions and intelligent applications efficiently. TDSP helps improve team collaboration and learning by suggesting how team role...;"datascience;process";https://docs.microsoft.com;website;img/img-L02139.non;2022-02-18;NA;png;/static/img/article_images/img-l02139.png;NA;NA;2022-02-18;2022-07-28
https://www.apollo-magazine.com/open-access-image-libraries-a-handy-list/;processed;none;2138;L02138;Open access image libraries – a handy list;Samuel Reilly;Details of works from the Metropolitan Museum of Art, New York, the Städtische Galerie im Lenbachhaus, Munich, the Munchmuseet, Oslo, and the Rijksmuseum, Amsterdam Apollo supports open access to images of artworks that are out of copyright. Belo...;"art;images";https://www.apollo-magazine.com;website;img/img-L02138.jpg;2020-02-18;NA;non;https://apollo.imgix.net/content/uploads/2022/07/web-lead_20222-3.jpg?auto=compress,format&w=520&h=360;NA;NA;2020-02-18;2022-07-28
https://raminrastin.com/uncategorized/simple-machine-learning-workflow/;processed;none;2137;L02137;Simple Machine Learning Workflow;Ramin Rastin;Ramin Rastin SVP of Cloud Infrastructure & Software Engineering I have been asked in many conferences to describe Machine Learning and how it work flows in a technology environment, thus I decided to write this: Machine learning (ML) is a subfi...;"machinelearining;process";https://raminrastin.com;website;img/img-L02137.jpg;Undated;NA;jpg;https://raminrastin.com/wp-content/uploads/2021/03/ML-WF.jpg;NA;NA;Undated;2022-07-29
https://twitter.com/CatherineAdenle/status/1488073425826590724/photo/1;processed;none;2136;L02136;Infographic: Cognitive Bias in Data Science;Catherine Adenle;Infographic: Cognitive Bias in Data Science https://t.co/PeCfBEOPCv;"datascience;infographic;notuseful;dataliteracy;databias";https://twitter.com;twitter;NA;2022-01-31;photo;jpg;http://pbs.twimg.com/media/FKay5CtWYAg375S.jpg;http://pbs.twimg.com/profile_images/476740017432584192/f_Wc8SVX_normal.jpeg;https://catherinescareercorner.com;2022-01-31;2022-07-23
https://twitter.com/CatherineAdenle/status/1479171733965918214/photo/1;processed;none;2135;L02135;Infographic: The ecosystem of data science tools.;Catherine Adenle;Infographic: The ecosystem of data science tools. https://t.co/nV7l6gXmAx;"datascience;infographic;notuseful;tools";https://twitter.com;twitter;NA;2022-01-06;photo;jpg;http://pbs.twimg.com/media/FIcS2byXIAQMXEb.jpg;http://pbs.twimg.com/profile_images/476740017432584192/f_Wc8SVX_normal.jpeg;https://catherinescareercorner.com;2022-01-06;2022-07-23
https://docs.ropensci.org/geojson/;processed;none;2132;L02132;geojson;Scott Chamberlain; geojson aims to deal only with geojson data, without requiring any of the sp/rgdal/rgeos stack. That means this package is light weight. We’ve defined classes (S3) following the GeoJSON spec. These classes sort of overlap with sp’s classes, but...;"cartography;rstats";https://docs.ropensci.org;website;img/img-L02132.non;2020-06-23;NA;png;/static/img/article_images/img-l02132.png;NA;NA;2020-06-23;2022-07-28
https://book.javascript-for-r.com/intro-overview.html;processed;none;2131;L02131;JavaScript for R;John Coene;This book starts with a rationale for integrating JavaScript with R and supports it with examples, namely packages that use JavaScript and are available on CRAN. Then, we list the various ways in which one might go about making both languages work...;"javascript;rstats";https://book.javascript-for-r.com;website;img/img-L02131.non;2021-04-19;NA;non;/static/img/article_images/img-l02131.png;NA;NA;2021-04-19;2022-07-28
https://www.infoworld.com/article/3607068/plot-in-r-with-echarts4r.html;processed;none;2130;L02130;Plot in R with echarts4r;Sharon Machlis;By Sharon Machlis Executive Editor, Data & Analytics, InfoWorld | While I’m mostly settled on ggplot2 for static plots, I’m always on the lookout for ways to make interactive visualizations. echarts4r is one of my new favorite packages for this....;"rstats;datavisualization;charts";https://www.infoworld.com;website;img/img-L02130.non;2021-02-11;NA;png;https://images.idgesg.net/images/article/2018/11/sharon-machlis_150x150px-100780511-byline.gif?auto=webp&quality=85,70;;https://www.infoworld.com/author/Sharon-Machlis/;2021-02-11;2022-07-28
https://www.infoworld.com/article/3648458/how-to-create-powerpoint-slides-from-r.html;processed;none;2129;L02129;How to create PowerPoint slides from R;Sharon Machlis;By Sharon Machlis Executive Editor, Data & Analytics, InfoWorld | There are lots of ways to share results of your R analysis: Word documents, interactive apps, even in the body of an email. But sometimes, you want a slide presentation. It’s eas...;"rstats;powerpoint";https://www.infoworld.com;website;img/img-L02129.non;2022-02-23;NA;non;https://images.idgesg.net/images/article/2018/11/sharon-machlis_150x150px-100780511-byline.gif?auto=webp&quality=85,70;NA;https://www.infoworld.com/author/Sharon-Machlis/;2022-02-23;2022-07-28
